मोहब्बत	सेक्स	3.371399101821341	6.8	0
बाघ	बिल्ली	6.474872288156942	7.0	0
किताब	कागज़	5.3391897653231855	7.6	0
कंप्यूटर	कीबोर्ड	6.908112805715376	7.6	0
कंप्यूटर	इंटरनेट	7.116359599708899	8.0	0
विमान	कार	6.274393359541969	6.0	0
रेलगाड़ी	कार	6.108957484988996	6.2	0
टेलीफोन	संचार	5.805759765413843	7.6	0
टेलीविजन	रेडियो	7.580018113774902	6.4	0
मीडिया	रेडियो	5.306770243015344	5.8	0
ब्रेड	मक्खन	7.221522704549926	6.6	0
खीरा	आलू	8.323273337899172	5.8	1
चिकित्सक	नर्स	7.003461248500587	7.6	0
प्रोफ़ेसर	चिकित्सक	5.450974893935367	4.6	0
छात्र	प्रोफ़ेसर	5.06073127338606	7.0	0
होशियार	छात्र	3.815128272340557	5.2	0
होशियार	बेवकूफ	5.930489263641769	6.2	0
किताब	पुस्तकालय	4.703849119061892	7.6	0
बैंक	पैसे	4.910287767130631	8.0	0
लकड़ी	जंगल	5.466520117617001	7.0	0
प्रोफ़ेसर	खीरा	1.2081574952022944	0.0	0
राजा	रानी	7.052773907529472	8.2	1
बिशप	रबी	1.4684349634662595	7.0	0
यरूशलेम	इजराइल	5.267121204448399	7.8	0
पवित्र	सेक्स	2.620598455858483	1.0	0
माराडोना	फ़ुटबॉल	6.902350482415002	7.8	0
फ़ुटबॉल	सॉकर	8.435311182382005	9.0	0
फ़ुटबॉल	बास्केटबाल	7.390758004386062	6.4	0
फ़ुटबॉल	टेनिस	7.513460888669551	5.8	0
टेनिस	रैकेट	5.263865456993909	7.4	0
कानून	वकील	4.935620607553991	7.8	0
चलचित्र	पॉपकॉर्न	4.097071733905499	6.6	0
चलचित्र	आलोचक	2.99721285165301	6.6	0
चलचित्र	थिएटर	5.001433438415566	8.4	1
पीना	कार	3.1831845034141355	1.4	0
पीना	कान	3.3919186710621996	0.4	0
पीना	मुंह	4.137031113478938	7.0	0
बच्चा	मां	5.511191368116222	7.2	0
पीना	मां	2.791302992995947	1.8	0
मणि	गहना	4.018123772733792	6.8	0
भट्ठी	स्टोव	7.022818445769419	8.4	1
भोजन	फल	5.981049053776446	6.6	0
पक्षी	सारस	8.535008784599311	7.4	1
भाई	साधु	2.8323679894386036	1.4	0
यात्रा	कार	4.197636800871985	6.2	0
साधु	गुलाम	2.4771392081444694	0.2	0
कांच	जादूगर	3.6818293048126662	2.0	0
पैसे	मुद्रा	4.1502484823790144	8.6	1
पैसे	धन	5.8708899713609775	9.2	1
पैसे	संपत्ति	5.078941073276813	8.4	1
पैसे	बैंक	4.910287767130631	8.2	1
पैसे	जमा	4.823822509249332	6.6	0
पैसे	ऑपरेशन	3.3885908779837095	2.6	0
बाघ	जैगुआर	4.780786034148033	8.0	0
बाघ	जानवर	7.225027318453929	7.6	0
बाघ	चिड़ियाघर	7.051327625649755	6.8	0
मनोविज्ञान	चिंता	3.4812648319863317	6.2	0
मनोविज्ञान	डर	2.020254413170775	5.2	0
मनोविज्ञान	डिप्रेशन	4.415682228134688	7.0	0
मनोविज्ञान	क्लिनिक	4.649744862608626	6.4	0
मनोविज्ञान	चिकित्सक	5.2374988711738535	7.0	0
मनोविज्ञान	मन	3.905772473591921	7.4	0
मनोविज्ञान	स्वास्थ्य	5.233972167058497	6.2	0
मनोविज्ञान	विज्ञान	8.076863088934378	7.0	1
मनोविज्ञान	अनुशासन	5.24375511713655	4.2	0
0.85
