मोहब्बत	सेक्स	4.3305255156826155	6.8	0
बाघ	बिल्ली	5.996534732116197	7.0	0
किताब	कागज़	6.407840596167475	7.6	0
कंप्यूटर	कीबोर्ड	6.321789173646061	7.6	0
कंप्यूटर	इंटरनेट	7.983269038764391	8.0	0
विमान	कार	7.168454215733391	6.0	0
रेलगाड़ी	कार	6.551093580696056	6.2	0
टेलीफोन	संचार	5.788380860275756	7.6	0
टेलीविजन	रेडियो	7.840642087928095	6.4	0
मीडिया	रेडियो	6.534088872812674	5.8	0
ब्रेड	मक्खन	6.941811266461263	6.6	0
खीरा	आलू	6.7593844105463905	5.8	0
चिकित्सक	नर्स	7.424001615115943	7.6	0
प्रोफ़ेसर	चिकित्सक	5.708070919917191	4.6	0
छात्र	प्रोफ़ेसर	5.271255087557392	7.0	0
होशियार	छात्र	4.578795249114901	5.2	0
होशियार	बेवकूफ	6.331541638269977	6.2	0
किताब	पुस्तकालय	4.834225083043185	7.6	0
बैंक	पैसे	6.66735944384278	8.0	0
लकड़ी	जंगल	6.4360894257580545	7.0	0
प्रोफ़ेसर	खीरा	-0.10984559597152721	0.0	0
राजा	रानी	7.502501604213009	8.2	0
बिशप	रबी	0.767589888378992	7.0	1
यरूशलेम	इजराइल	5.481491859986949	7.8	0
पवित्र	सेक्स	4.15718795784637	1.0	1
माराडोना	फ़ुटबॉल	4.0781555237806675	7.8	0
फ़ुटबॉल	सॉकर	7.987559478759987	9.0	0
फ़ुटबॉल	बास्केटबाल	6.704593460826134	6.4	0
फ़ुटबॉल	टेनिस	6.750377953592469	5.8	0
टेनिस	रैकेट	4.488102224094883	7.4	0
कानून	वकील	6.453000409807624	7.8	0
चलचित्र	पॉपकॉर्न	1.6246275004196156	6.6	1
चलचित्र	आलोचक	4.131037789234436	6.6	0
चलचित्र	थिएटर	5.338535630086322	8.4	0
पीना	कार	2.471587128667906	1.4	0
पीना	कान	4.376610573019112	0.4	1
पीना	मुंह	4.646349850259818	7.0	0
बच्चा	मां	7.309494708307288	7.2	0
पीना	मां	4.227932408837873	1.8	1
मणि	गहना	3.514596796963713	6.8	1
भट्ठी	स्टोव	6.3284045669575875	8.4	0
भोजन	फल	7.645974623477274	6.6	0
पक्षी	सारस	7.725168251616218	7.4	0
भाई	साधु	4.921555571843181	1.4	1
यात्रा	कार	5.762995881376022	6.2	0
साधु	गुलाम	3.339010676739149	0.2	0
कांच	जादूगर	3.3260641342839152	2.0	0
पैसे	मुद्रा	6.11683058755443	8.6	0
पैसे	धन	7.875886551570932	9.2	0
पैसे	संपत्ति	6.881062616732143	8.4	0
पैसे	बैंक	6.66735944384278	8.2	0
पैसे	जमा	7.138369207216311	6.6	0
पैसे	ऑपरेशन	3.53685602829275	2.6	0
बाघ	जैगुआर	2.737265808139704	8.0	1
बाघ	जानवर	7.750575951461415	7.6	0
बाघ	चिड़ियाघर	6.412073878855111	6.8	0
मनोविज्ञान	चिंता	4.3711064330432166	6.2	0
मनोविज्ञान	डर	3.298727341824546	5.2	1
मनोविज्ञान	डिप्रेशन	4.4167308096922095	7.0	0
मनोविज्ञान	क्लिनिक	4.53177603989999	6.4	0
मनोविज्ञान	चिकित्सक	6.0107992962184245	7.0	0
मनोविज्ञान	मन	3.808667778816796	7.4	1
मनोविज्ञान	स्वास्थ्य	5.971482020670134	6.2	0
मनोविज्ञान	विज्ञान	8.304848531739678	7.0	0
मनोविज्ञान	अनुशासन	6.143223472503145	4.2	0
0.85
